...Mass Properties...
1 Num Comps
1 Total Num Meshes
272 Total Num Tris

7.648493402661171e+00             Total Mass
4.276376947986601e+00 -3.806481139930211e-19 -9.597874636175945e-20       Center of Gravity
1.242733645948742e+00 3.333791137041329e+01 3.333524245776893e+01       Ixx, Iyy, Izz
-4.771803076970641e-03 -2.516373578772929e-03 2.085606262425619e-03       Ixy, Ixz, Iyz
7.648493402661171e+00             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
PodGeom	7.648493402658952e+00	4.276376947987694e+00	-1.130809150010590e-16	7.294261460121792e-18	1.242733645948745e+00	3.333791137041359e+01	3.333524245776907e+01	-4.771803076970946e-03	-2.516373578772955e-03	2.085606262425618e-03	7.648493402658952e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	7.648493402661171e+00	4.276376947986601e+00	-3.806481139930211e-19	-9.597874636175945e-20	1.242733645948742e+00	3.333791137041329e+01	3.333524245776893e+01	-4.771803076970641e-03	-2.516373578772929e-03	2.085606262425619e-03	7.648493402661171e+00

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.500000000000000e-01	6.466727905608054e-02	2.499999999999998e-01	2.731000470104296e-18	-7.824611059129753e-18	1.415725236039328e-03	4.085389975176406e-03	4.066510162537964e-03	-3.179443362291203e-05	-1.874070855120133e-05	1.532408888130382e-05	6.466727905608054e-02
7.500000000000000e-01	3.168067838925318e-01	6.479389294295947e-01	-7.405898584049729e-17	1.665889369936925e-17	2.205773714950116e-02	4.044763603430860e-02	4.034443556736608e-02	-1.779223764902745e-04	-9.936798193078355e-05	8.464038698881804e-05	3.168067838925318e-01
1.250000000000000e+00	7.120452122513473e-01	9.821279208222802e-01	-2.959139401338183e-16	6.350856756491503e-18	7.246799416853497e-02	1.500486853454229e-01	1.498087452352643e-01	-4.211517457424404e-04	-2.284923184986965e-04	1.919040574319137e-04	7.120452122513473e-01
1.750000000000000e+00	1.199084813279708e+00	1.294019212365381e+00	-2.933899759520062e-16	3.987095541193266e-18	1.488565069948113e-01	3.842243073027092e-01	3.838140669474369e-01	-7.252132495727208e-04	-3.895533331117528e-04	3.250680089599741e-04	1.199084813279708e+00
2.250000000000000e+00	1.744295214952801e+00	1.592827960305517e+00	-5.679713112150560e-16	4.075944479564577e-18	2.444864177220032e-01	8.030570313813054e-01	8.024541609713747e-01	-1.069839172110249e-03	-5.700696365409758e-04	4.743109871483002e-04	1.744295214952801e+00
2.750000000000000e+00	2.327461061801908e+00	1.882767596054390e+00	-3.667765426199959e-16	4.887628482764608e-18	3.538427745484207e-01	1.473439827646414e+00	1.472631277504914e+00	-1.441955578610416e-03	-7.639285383605215e-04	6.354753889604945e-04	2.327461061801908e+00
3.250000000000000e+00	2.935692768018726e+00	2.166037734846188e+00	-2.137832593397379e-16	5.616114015064899e-18	4.727626125847013e-01	2.466102584663086e+00	2.465079071903125e+00	-1.827650488492727e-03	-9.667819931606863e-04	8.038152066911960e-04	2.935692768018726e+00
3.750000000000000e+00	3.554085076626758e+00	2.441638926370305e+00	-1.246537692477319e-16	6.323431680740320e-18	5.956690540524583e-01	3.841426184730870e+00	3.840183503545437e+00	-2.223167050102031e-03	-1.172924921189457e-03	9.731844631917063e-04	3.554085076626758e+00
4.250000000000000e+00	4.179494969366138e+00	2.712237865568050e+00	-6.363599805335741e-17	6.938125812300826e-18	7.213726760733991e-01	5.676120396684379e+00	5.674655941334769e+00	-2.620546756661530e-03	-1.381152938885422e-03	1.145164461463583e-03	4.179494969366138e+00
4.750000000000000e+00	4.806908212255585e+00	2.978213185367489e+00	-2.226885003377773e-17	7.467958765293246e-18	8.478812876400690e-01	8.037426465176386e+00	8.035740062740226e+00	-3.018573913331047e-03	-1.590035621482825e-03	1.318235167433662e-03	4.806908212255585e+00
5.250000000000000e+00	5.417120715884103e+00	3.234119005557585e+00	7.088895623366013e-18	6.907399413913338e-18	9.675745675849005e-01	1.092372416241599e+01	1.092182110609504e+01	-3.406864221804026e-03	-1.793020144320168e-03	1.486935426156787e-03	5.417120715884103e+00
5.750000000000000e+00	5.967271764258425e+00	3.466069991093018e+00	-7.180241480436437e-17	7.095255710735540e-18	1.064938772910212e+00	1.416237747054305e+01	1.416028099336578e+01	-3.753011951202576e-03	-1.975197869713640e-03	1.638445995078061e-03	5.967271764258425e+00
6.250000000000000e+00	6.438672064406270e+00	3.669892367611327e+00	-8.987447370320604e-17	7.341148981972776e-18	1.136522334764119e+00	1.760879648890936e+01	1.760653471616794e+01	-4.050334674719206e-03	-2.131278659007677e-03	1.767206013144860e-03	6.438672064406270e+00
6.750000000000000e+00	6.826778983116731e+00	3.844998531947286e+00	-1.117260623683468e-16	6.309256061993944e-18	1.185137115076383e+00	2.112605578324027e+01	2.112365990537698e+01	-4.292036925633015e-03	-2.258527311662132e-03	1.871253950493352e-03	6.826778983116731e+00
7.250000000000000e+00	7.131560675777390e+00	3.990518167567862e+00	-1.109575071028450e-16	6.438888363153349e-18	1.215216178150903e+00	2.453965339087113e+01	2.453715332710377e+01	-4.474807534272564e-03	-2.356995654878716e-03	1.955043237718474e-03	7.131560675777390e+00
