# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,PodGeom,0,CYTXVPRPPI,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,19,9
# x,y,z,u,w
1.303155006858710552e+00, -2.855996097633773378e-01, -2.855996097633773378e-01, 4.444444444444444198e-01, 2.500000000000000000e+00
1.303155006858710552e+00, -4.039780521262002488e-01, 0.000000000000000000e+00, 4.444444444444444198e-01, 3.000000000000000000e+00
1.303155006858710552e+00, -2.855996097633773378e-01, 2.855996097633773378e-01, 4.444444444444444198e-01, 3.500000000000000000e+00
1.303155006858710552e+00, 0.000000000000000000e+00, 4.039780521262002488e-01, 4.444444444444444198e-01, 4.000000000000000000e+00
1.844993141289437588e+00, 0.000000000000000000e+00, 4.478737997256515557e-01, 5.555555555555555802e-01, 0.000000000000000000e+00
1.844993141289437588e+00, 3.166325045424199791e-01, 3.166325045424199791e-01, 5.555555555555555802e-01, 5.000000000000000000e-01
1.844993141289437588e+00, 4.478737997256515557e-01, 0.000000000000000000e+00, 5.555555555555555802e-01, 1.000000000000000000e+00
1.844993141289437588e+00, 3.166325045424199791e-01, -3.166325045424199791e-01, 5.555555555555555802e-01, 1.500000000000000000e+00
1.844993141289437588e+00, 0.000000000000000000e+00, -4.478737997256515557e-01, 5.555555555555555802e-01, 2.000000000000000000e+00
1.844993141289437588e+00, -3.166325045424199791e-01, -3.166325045424199791e-01, 5.555555555555555802e-01, 2.500000000000000000e+00
1.844993141289437588e+00, -4.478737997256515557e-01, 0.000000000000000000e+00, 5.555555555555555802e-01, 3.000000000000000000e+00
1.844993141289437588e+00, -3.166325045424199791e-01, 3.166325045424199791e-01, 5.555555555555555802e-01, 3.500000000000000000e+00
1.844993141289437588e+00, 0.000000000000000000e+00, 4.478737997256515557e-01, 5.555555555555555802e-01, 4.000000000000000000e+00
2.481481481481480955e+00, 0.000000000000000000e+00, 4.759259259259259744e-01, 6.666666666666666297e-01, 0.000000000000000000e+00
2.481481481481480955e+00, 3.364644638621520079e-01, 3.364644638621520079e-01, 6.666666666666666297e-01, 5.000000000000000000e-01
2.481481481481480955e+00, 4.759259259259259744e-01, 0.000000000000000000e+00, 6.666666666666666297e-01, 1.000000000000000000e+00
2.481481481481480955e+00, 3.364644638621520079e-01, -3.364644638621520079e-01, 6.666666666666666297e-01, 1.500000000000000000e+00
2.481481481481480955e+00, 0.000000000000000000e+00, -4.759259259259259744e-01, 6.666666666666666297e-01, 2.000000000000000000e+00
2.481481481481480955e+00, -3.364644638621520079e-01, -3.364644638621520079e-01, 6.666666666666666297e-01, 2.500000000000000000e+00
2.481481481481480955e+00, -4.759259259259259744e-01, 0.000000000000000000e+00, 6.666666666666666297e-01, 3.000000000000000000e+00
2.481481481481480955e+00, -3.364644638621520079e-01, 3.364644638621520079e-01, 6.666666666666666297e-01, 3.500000000000000000e+00
2.481481481481480955e+00, 0.000000000000000000e+00, 4.759259259259259744e-01, 6.666666666666666297e-01, 4.000000000000000000e+00
3.216735253772290637e+00, 0.000000000000000000e+00, 4.916323731138546038e-01, 7.777777777777777901e-01, 0.000000000000000000e+00
3.216735253772290637e+00, 3.475684215252782261e-01, 3.475684215252782261e-01, 7.777777777777777901e-01, 5.000000000000000000e-01
3.216735253772290637e+00, 4.916323731138546038e-01, 0.000000000000000000e+00, 7.777777777777777901e-01, 1.000000000000000000e+00
3.216735253772290637e+00, 3.475684215252782261e-01, -3.475684215252782261e-01, 7.777777777777777901e-01, 1.500000000000000000e+00
3.216735253772290637e+00, 0.000000000000000000e+00, -4.916323731138546038e-01, 7.777777777777777901e-01, 2.000000000000000000e+00
3.216735253772290637e+00, -3.475684215252782261e-01, -3.475684215252782261e-01, 7.777777777777777901e-01, 2.500000000000000000e+00
3.216735253772290637e+00, -4.916323731138546038e-01, 0.000000000000000000e+00, 7.777777777777777901e-01, 3.000000000000000000e+00
3.216735253772290637e+00, -3.475684215252782261e-01, 3.475684215252782261e-01, 7.777777777777777901e-01, 3.500000000000000000e+00
3.216735253772290637e+00, 0.000000000000000000e+00, 4.916323731138546038e-01, 7.777777777777777901e-01, 4.000000000000000000e+00
4.054869684499314175e+00, 0.000000000000000000e+00, 4.984910836762688757e-01, 8.888888888888888395e-01, 0.000000000000000000e+00
4.054869684499314175e+00, 3.524173113345036024e-01, 3.524173113345036024e-01, 8.888888888888888395e-01, 5.000000000000000000e-01
