ThickChord,Camber,CamberLoc,TotalChord,TotalSpan,Twist,XLoc,"outputs[""SM""]","outputs[""Cl""]","outputs[""Cd/Cl""]","outputs[""max_RCS""]","outputs[""Tot_Obj""]"
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39032423099875757,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.61299726298673,0.020475846154,0.11554456227137758,626.6957830769787,313.40566381962503
0.1,0.0,0.1,2.0,13.0,0.0,1.0,-5.227410991197776,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,11.0,5.0,2.0,-2.313401446243022,0.071362928459,0.04406358651336187,857.3244664396834,428.6842650130984
0.1,0.0,0.1,1.0,8.0,0.0,0.0,-24.963636962839022,0.0,inf,0.794261895632329,inf
0.1,0.0,0.1,1.0,8.0,2.0,2.0,-8.479523926484992,0.011958418647,0.05884032268568562,0.794261895632329,0.4265511091590073
0.1,0.0,0.1,2.0,6.0,1.0,4.0,6.136607002390999,0.004502147439,0.20226671679199085,724.9191265930925,362.56069665494226
0.1,0.0,0.1,2.0,11.0,4.0,3.0,3.15669334838792,0.05718939746,0.0619531088166845,857.3244664396834,428.6932097742501
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.37761134348838,0.005951788235,0.11265638603487713,1.524734730403648,0.8186955582192625
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3905990941505788,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,2.0,5.0,5.0,6.580329917485458,0.00274269506,0.1424300928299335,1018.130085966601,509.13625802971546
0.1,0.0,0.1,1.0,13.0,2.0,1.0,-10.152304442618316,0.021506833566,0.05305035827327516,532.9872547573164,266.5201525577948
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870711909217732,0.060358770545,0.047730903048333446,1083.123646798003,541.5856888505257
0.1,0.0,0.1,1.0,13.0,5.0,3.0,5.44830023603895,0.055285778424,0.0317298083884532,532.9872547573164,266.5094922828524
0.1,0.0,0.1,2.0,6.0,1.0,3.0,-1.4711695414617587,0.00462569836,0.19718062485163862,724.9191265930925,362.5581536089721
0.1,0.0,0.1,1.0,2.0,1.0,3.0,-15.609586382254678,0.000611815375,0.2528865950778043,16.968034486377988,8.610460540727896
0.1,0.0,0.1,2.0,4.0,0.0,0.0,-23.691709155038826,0.0,inf,1.524734730403648,inf
0.1,0.0,0.1,1.0,8.0,4.0,2.0,-1.5206237701199043,0.02377907858,0.03920546382247583,0.794261895632329,0.4167336797274024
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.61303870948523,0.020475810734,0.11554474861752255,626.6957830769787,313.4056639127981
0.1,0.0,0.1,2.0,11.0,4.0,3.0,3.1563982810743423,0.057189958854,0.06195338230693947,857.3244664396834,428.69320991099517
0.1,0.0,0.1,1.0,10.0,4.0,3.0,2.496964387649836,0.031361453009,0.03716810670938898,623.701814902236,311.8694915044727
0.1,0.0,0.1,1.0,8.0,3.0,5.0,18.946937330666362,0.01750146785,0.04618473427073147,0.794261895632329,0.4202233149515302
0.1,0.0,0.1,2.0,6.0,1.0,0.0,-20.36610819372363,0.004679987214,0.1955450423587418,724.9191265930925,362.55733581772563
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39068571089677206,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,2.0,5.0,5.0,6.579761669812764,0.002742638926,0.14243355561562535,1018.130085966601,509.1362597611083
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870726781523528,0.060359007438,0.04773081928093849,1083.123646798003,541.585688808642
0.1,0.0,0.1,2.0,11.0,5.0,2.0,-2.3165038665564452,0.071360162507,0.044061501873563835,857.3244664396834,428.6842639707785
0.1,0.0,0.1,2.0,13.0,1.0,2.0,-0.39756048705534397,0.016783994683,0.12139894563144624,652.5784483965008,326.3499236710661
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3909288707520986,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39024040687036354,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,1.0,11.0,1.0,4.0,11.458775593134343,0.008654229288,0.10237930467460016,1.1146899325561177,0.608534618615359
0.1,0.0,0.1,1.0,13.0,4.0,5.0,21.378960834168623,0.042760997121,0.034857366323387144,532.9872547573164,266.5110560618199
